be_cf_id,title,doi_url,document_type
105736942,"Mise en Ì©vidence de tÌ©phrites ÌÊ nÌ©phÌ©line syntectoniques dans le bassin cambrien de Sidi SaÌød MaÌ¢chou (Meseta cÌ«tiÌ¬re, Maroc); signification gÌ©odynamique",http://doi.org/10.3989/EGEOL.39519.042,original_research
107498148,A realist diagnostic workshop,http://doi.org/10.1177/1356389012440912,original_research
107878127,British Pharmacology Society Winter Meeting: focus on neuropharmacology,http://doi.org/10.1586/17512433.2.2.163,meeting_summary
109525184,NS3 protease from flavivirus as a target for designing antiviral inhibitors against dengue virus,http://doi.org/10.1590/S1415-47572010000200002,original_research
112399833,The state of the art of impact assessment in 2012,http://doi.org/10.1080/14615517.2012.669140,editorial_or_commentary
114312802,The Other Side of the Chinese Economic Miracle,http://doi.org/10.2190/HS.42.1.B,original_research
114662285,Does Specialized Pollination Impede Plant Invasions?,http://doi.org/10.1086/651226,original_research
114677002,"Obituary: Toshisada Nishida (March 3, 1941‰ÛÒJune 7, 2011)",http://doi.org/10.1007/S10764-011-9571-2,other
114706666,A Brief Communication From Brazil,http://doi.org/10.1080/15551020903387156,other
115991107,Dear President Obama and Secretary Duncan: You Are Looking Through the Wrong Window,http://doi.org/10.1598/JAAL.53.6.8,editorial_or_commentary
118270239,Reply to A. Aref et al and E. Ben-Josef et al,http://doi.org/10.1200/JCO.2011.40.9987,response
119547446,Mickie Bhatia: Embryonic stem cells come of age,http://doi.org/10.1084/JEM.20610PI,editorial_or_commentary
119876231,ÒAbove AverageÓ SSAT Presidential Address 2009,http://doi.org/10.1007/S11605-009-0996-2,other
120112891,Correction to ÒVolcanic aerosol layers observed with multiwavelength Raman lidar over central Europe in 2008_2009Ó,http://doi.org/10.1029/2010JD014895,academic_bugfix
124006100,Proteomic Analysis of Colon Tissue from Interleukin-10 Gene-Deficient Mice Fed Polyunsaturated Fatty Acids with Comparison to Transcriptomic Analysis,http://doi.org/10.1021/PR200807P,original_research
125680001,"Philology as Philosophy: Giovanni Pontano on Language, Meaning, and Grammar",http://doi.org/10.1353/JHI.2011.0026,original_research
128684763,"Book Review: Geoffrey Baym, From Cronkite to Colbert: The Evolution of Broadcast News",http://doi.org/10.1177/0163443711434291A,media_review
129467223,"Henry Fielding and the ""Scriblerians""",http://doi.org/10.1215/00267929-2010-030,original_research
132006038,An anatomy of a YouTube meme,http://doi.org/10.1177/1461444811412160,original_research
133638326,Trichomonas vaginalis 62 kDa proteinase as a possible virulence factor,http://doi.org/10.1007/S00436-010-2078-5,original_research
135758928,Phylogenetic Properties of RNA Viruses,http://doi.org/10.1371/JOURNAL.PONE.0044849,original_research
136737572,Book Review: Understanding Tourism: A Critical Introduction,http://doi.org/10.1177/146499341101200312,media_review
137527381,THE PROBLEM OF HEAVEN,http://doi.org/10.1111/J.1467-9329.2010.00482.X,original_research
141807438,Ethics and Intuitions: A Reply to Singer,http://doi.org/10.1007/S10892-010-9088-5,original_research
142585670,Suki Chan: The Space Between,http://doi.org/10.1080/09528822.2010.502784,media_review
